original_title;english_title;rating;year;film_poster;genres
What's Eating Gilbert Grape;What's Eating Gilbert Grape;7.7;1993;;
 La grande bellezza;The Great Beauty;7.7;2013;;
Papillon;Papillon;7.2;2017;;
Frozen;Frozen;7.4;2013;;
We Were Soldiers;We Were Soldiers;7.2;2002;;
The Blues Brothers;The Blues Brothers;7.9;1980;;
The Hunt for Red October;The Hunt for Red October;7.5;1990;;
Coach Carter;Coach Carter;7.3;2005;;
I Am Legend;I Am Legend;7.2;2007;;
 The Avengers;Avengers Assemble;8.0;2012;;
Guardians of the Galaxy Vol. 3;Guardians of the Galaxy Vol. 3;7.9;2023;;
American Gangster;American Gangster;7.8;2007;;
Changeling;Changeling;7.7;2008;;
Sherlock Holmes: A Game of Shadows;Sherlock Holmes: A Game of Shadows;7.4;2011;;
Breaking the Waves;Breaking the Waves;7.8;1996;;
 Katedra;The Cathedral;7.2;2002;;
 Nuovo Cinema Paradiso;Cinema Paradiso;8.5;1988;;
Limitless;Limitless;7.4;2011;;
Cabaret;Cabaret;7.8;1972;;
 Ziemia obiecana;The Promised Land;7.8;1975;;
 Przesluchanie;Interrogation;7.9;1989;;
Life of Brian;Life of Brian;8.0;1979;;
 Bram Stoker's Dracula;Dracula;7.4;1992;;
 Tylko nie mów nikomu;Tell No One;8.2;2019;;
The Illusionist;The Illusionist;7.5;2006;;
 Znachor;Forgotten Love;7.5;2023;;
The Godfather Part III;The Godfather Part III;7.6;1990;;
 Przypadek;Blind Chance;7.7;1987;;
La haine;La haine;8.1;1995;;
The Last of the Mohicans;The Last of the Mohicans;7.6;1992;;
Crash;Crash;6.4;1996;;
Control;Control;7.6;2007;;
 Zootopia;Zootropolis;8.0;2016;;
The Hobbit: The Desolation of Smaug;The Hobbit: The Desolation of Smaug;7.8;2013;;
 Guardians of the Galaxy Vol. 2;Guardians of the Galaxy: Vol. 2;7.6;2017;;
About Time;About Time;7.8;2013;;
Dirty Harry;Dirty Harry;7.7;1971;;
Tangled;Tangled;7.7;2010;;
 Crna machka, beli machor;Black Cat, White Cat;8.0;1998;;
 Przesluchanie;Interrogation;7.9;1989;;
Kiler;Kiler;7.5;1997;;
Taken;Taken;7.7;2008;;
 Trois couleurs: Bleu;Three Colors: Blue;7.8;1993;;
A Perfect World;A Perfect World;7.5;1993;;
 Ziemia obiecana;The Promised Land;7.8;1975;;
Gifted;Gifted;7.6;2017;;
Black Hawk Down;Black Hawk Down;7.7;2001;;
Finding Neverland;Finding Neverland;7.7;2004;;
 Tylko nie mów nikomu;Tell No One;8.2;2019;;
Twelve Monkeys;Twelve Monkeys;8.0;1995;;
 Sen to Chihiro no kamikakushi;Spirited Away;8.6;2001;;
Moana 2;Moana 2;6.9;2024;;
One Day;One Day;8.1;2024;;
The Color Purple;The Color Purple;7.7;1985;;
Indiana Jones and the Temple of Doom;Indiana Jones and the Temple of Doom;7.5;1984;;
Shrek;Shrek;7.9;2001;;
Blade Runner 2049;Blade Runner 2049;8.0;2017;;
 Who Am I - Kein System ist sicher;Who Am I;7.4;2014;;
Dlug;Dlug;7.8;1999;;
The Straight Story;The Straight Story;8.0;1999;;
 Mulholland Dr.;Mulholland Drive;7.9;2001;;
 Il buono, il brutto, il cattivo;The Good, the Bad and the Ugly;8.8;1966;;
Shrek 2;Shrek 2;7.4;2004;;
The Untouchables;The Untouchables;7.8;1987;;
 Znachor;Forgotten Love;7.5;2023;;
 Le sel de la terre;The Salt of the Earth;7.5;2015;;
The Theory of Everything;The Theory of Everything;7.7;2014;;
 Contratiempo;The Invisible Guest;8.0;2016;;
Me Before You;Me Before You;7.4;2016;;
 Sami swoi. Poczatek;Our Folks: The Beginning;5.4;2024;;
 Harry Potter and the Sorcerer's Stone;Harry Potter and the Philosopher's Stone;7.7;2001;;
Moana 2;Moana 2;6.9;2024;;
Paperman;Paperman;8.2;2012;;
 Dzien swira;Day of the Wacko;8.1;2002;;
Treasure Planet;Treasure Planet;7.2;2002;;
Nie lubie poniedzialku;Nie lubie poniedzialku;7.5;1971;;
 Capharnaüm;Capernaum;8.4;2018;;
The Maker;The Maker;5.5;1997;;
 La migliore offerta;Deception;7.8;2013;;
K-PAX;K-PAX;7.4;2001;;
Captain Fantastic;Captain Fantastic;7.8;2016;;
The Thin Red Line;The Thin Red Line;7.6;1998;;
Brothers;Brothers;5.4;2024;;
 La leggenda del pianista sull'oceano;The Legend of 1900;8.0;1998;;
 Hotaru no haka;Grave of the Fireflies;8.5;1988;;
 Demain tout commence;Two Is a Family;7.3;2016;;
Donnie Darko;Donnie Darko;8.0;2001;;
 Per un pugno di dollari;A Fistful of Dollars;7.9;1964;;
Guardians of the Galaxy;Guardians of the Galaxy;8.0;2014;;
Searching for Sugar Man;Searching for Sugar Man;8.2;2012;;
Interview with the Vampire: The Vampire Chronicles;Interview with the Vampire: The Vampire Chronicles;7.5;1994;;
Pirates of the Caribbean: At World's End;Pirates of the Caribbean: At World's End;7.1;2007;;
Sound of Metal;Sound of Metal;7.7;2019;;
 Harry Potter and the Deathly Hallows - Part 1;Harry Potter and the Deathly Hallows: Part 1;7.7;2010;;
 Demain tout commence;Two Is a Family;7.3;2016;;
The Magnificent Seven;The Magnificent Seven;6.9;2016;;
Fracture;Fracture;7.2;2007;;
Wesele;Wesele;6.9;1973;;
 Yip Man 4;Ip Man 4;7.0;2019;;
The Bourne Supremacy;The Bourne Supremacy;7.7;2004;;
Mulan;Mulan;7.7;1998;;
 Adams æbler;Adam's Apples;7.7;2005;;
Detachment;Detachment;7.7;2011;;
 Sen to Chihiro no kamikakushi;Spirited Away;8.6;2001;;
 Kôkaku Kidôtai;Ghost in the Shell;7.9;1995;;
The Butterfly Circus;The Butterfly Circus;7.8;2009;;
Hercules;Hercules;7.3;1997;;
Billy Elliot;Billy Elliot;7.7;2000;;
Legendy Polskie Twardowsky;Legendy Polskie Twardowsky;7.1;2015;;
 Trois couleurs: Rouge;Three Colours: Red;8.1;1994;;
 Amator;Camera Buff;7.8;1979;;
The Game;The Game;7.7;1997;;
Now Is Good;Now Is Good;7.0;2012;;
Murder in the First;Murder in the First;7.3;1995;;
21 Grams;21 Grams;7.6;2003;;
 Dzien swira;Day of the Wacko;8.1;2002;;
Nie lubie poniedzialku;Nie lubie poniedzialku;7.5;1971;;
The Patriot;The Patriot;7.2;2000;;
Die Abtei des Verbrechens: Umberto Ecos 'Der Name der Rose' wird verfilmt;Die Abtei des Verbrechens: Umberto Ecos 'Der Name der Rose' wird verfilmt;6.4;1986;;
Pride & Prejudice;Pride & Prejudice;7.8;2005;;
Wonder;Wonder;7.9;2017;;
Kill Bill: Vol. 2;Kill Bill: Vol. 2;8.0;2004;;
Kanal;Kanal;7.9;1957;;
The Godfather Part III;The Godfather Part III;7.6;1990;;
 Dzien swira;Day of the Wacko;8.1;2002;;
 Przesluchanie;Interrogation;7.9;1989;;
The King's Speech;The King's Speech;8.0;2010;;
 Bram Stoker's Dracula;Dracula;7.4;1992;;
Harry Potter and the Order of the Phoenix;Harry Potter and the Order of the Phoenix;7.5;2007;;
 Vabank;Hit the Bank;7.9;1981;;
The Godfather Part III;The Godfather Part III;7.6;1990;;
 Gadajace glowy;Talking Heads;8.0;1980;;
Legendy Polskie Twardowsky;Legendy Polskie Twardowsky;7.1;2015;;
 Chlopaki nie placza;Boys Don't Cry;7.6;2000;;
Back to the Future Part II;Back to the Future Part II;7.8;1989;;
Isle of Dogs;Isle of Dogs;7.8;2018;;
Seven Pounds;Seven Pounds;7.6;2008;;
Rain Man;Rain Man;8.0;1988;;
 So weit die Füße tragen;As Far as My Feet Will Carry Me;7.3;2001;;
Symetria;Symetria;7.6;2003;;
Knives Out;Knives Out;7.9;2019;;
Fiddler on the Roof;Fiddler on the Roof;8.0;1971;;
The World's Fastest Indian;The World's Fastest Indian;7.8;2005;;
 Gisaengchung;Parasite;8.5;2019;;
The Devil's Advocate;The Devil's Advocate;7.5;1997;;
Cast Away;Cast Away;7.8;2000;;
 La grande bellezza;The Great Beauty;7.7;2013;;
Song of the Sea;Song of the Sea;8.0;2014;;
The Pursuit of Happyness;The Pursuit of Happyness;8.0;2006;;
Sin City;Sin City;8.0;2005;;
 Katedra;The Cathedral;7.2;2002;;
 La leggenda del pianista sull'oceano;The Legend of 1900;8.0;1998;;
City of Angels;City of Angels;6.7;1998;;
The Bridges of Madison County;The Bridges of Madison County;7.6;1995;;
 Najlepszy;The Fastest;7.4;2017;;
Sleepers;Sleepers;7.5;1996;;
Legendy Polskie Twardowsky 2.0;Legendy Polskie Twardowsky 2.0;7.4;2016;;
Sherlock Holmes;Sherlock Holmes;7.6;2009;;
The Last Samurai;The Last Samurai;7.8;2003;;
 Guardians of the Galaxy Vol. 2;Guardians of the Galaxy: Vol. 2;7.6;2017;;
 Le sel de la terre;The Salt of the Earth;7.5;2015;;
 Rejs;The Cruise;7.5;1970;;
The Bucket List;The Bucket List;7.4;2007;;
Memoirs of a Geisha;Memoirs of a Geisha;7.3;2005;;
The Bourne Ultimatum;The Bourne Ultimatum;8.0;2007;;
Edward Scissorhands;Edward Scissorhands;7.9;1990;;
 La grande bellezza;The Great Beauty;7.7;2013;;
 Crna machka, beli machor;Black Cat, White Cat;8.0;1998;;
 Zootopia;Zootropolis;8.0;2016;;
 Män som hatar kvinnor;The Girl with the Dragon Tattoo;7.8;2009;;
Blood Diamond;Blood Diamond;8.0;2006;;
 La migliore offerta;Deception;7.8;2013;;
The Meaning of Life;The Meaning of Life;7.5;1983;;
Green Street;Green Street;7.4;2005;;
Escape from Alcatraz;Escape from Alcatraz;7.6;1979;;
 Yip Man 4;Ip Man 4;7.0;2019;;
Indiana Jones and the Last Crusade;Indiana Jones and the Last Crusade;8.2;1989;;
Blow;Blow;7.5;2001;;
 Nuovo Cinema Paradiso;Cinema Paradiso;8.5;1988;;
Soul;Soul;8.0;2020;;
 Yedinci Kogustaki Mucize;Miracle in Cell No. 7;8.2;2019;;
 Krótki film o zabijaniu;A Short Film About Killing;8.0;1988;;
Empire of the Sun;Empire of the Sun;7.7;1987;;
 Przypadek;Blind Chance;7.7;1987;;
Girl, Interrupted;Girl, Interrupted;7.3;1999;;
Roman Holiday;Roman Holiday;8.0;1953;;
Enemy of the State;Enemy of the State;7.3;1998;;
 So weit die Füße tragen;As Far as My Feet Will Carry Me;7.3;2001;;
 Dzien swira;Day of the Wacko;8.1;2002;;
 Popiól i diament;Ashes and Diamonds;7.7;1958;;
The Notebook;The Notebook;7.8;2004;;
300;300;7.6;2006;;
 Les choristes;The Chorus;7.8;2004;;
 Kôkaku Kidôtai;Ghost in the Shell;7.9;1995;;
Awakenings;Awakenings;7.8;1990;;
 Pora umierac;Time to Die;7.5;2007;;
End of Watch;End of Watch;7.6;2012;;
 Fa yeung nin wah;In the Mood for Love;8.1;2000;;
